name|numInputs|numOutputs|maxLevel|numEdges|reliability|size|area|longest_path|hashCode|const|and|nand|or|nor|not|xor|xnor|buf|const-and|const-nand|const-or|const-nor|const-not|const-xor|const-xnor|const-buf|const-output|and-and|and-nand|and-or|and-nor|and-not|and-xor|and-xnor|and-buf|and-output|nand-and|nand-nand|nand-or|nand-nor|nand-not|nand-xor|nand-xnor|nand-buf|nand-output|or-and|or-nand|or-or|or-nor|or-not|or-xor|or-xnor|or-buf|or-output|nor-and|nor-nand|nor-or|nor-nor|nor-not|nor-xor|nor-xnor|nor-buf|nor-output|not-and|not-nand|not-or|not-nor|not-not|not-xor|not-xnor|not-buf|not-output|xor-and|xor-nand|xor-or|xor-nor|xor-not|xor-xor|xor-xnor|xor-buf|xor-output|xnor-and|xnor-nand|xnor-or|xnor-nor|xnor-not|xnor-xor|xnor-xnor|xnor-buf|xnor-output|buf-and|buf-nand|buf-or|buf-nor|buf-not|buf-xor|buf-xnor|buf-buf|buf-output|input-and|input-nand|input-or|input-nor|input-not|input-xor|input-xnor|input-buf|input-output
nop13547|5|3|8|81|4,7194252|6|5,852|2|0fd62bb02a7029e7d9b5da91d27f0656785d3f1d0e7161edbf84ed3de94c45e2|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|2|1|2|0|4|3|0|2|2|1|1|0|0|3|2|0|1|0|0|4|1|0|0|3|0|0|0|4|4|1|0|2|3|0|1|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|2|0|0|0|0|1|8|4|3|4|2|0|2|0
nop13551|5|3|6|80|5,7342684|9|7,448|4|90243d3fb7a56016a3b16745e21096d3cbce74e1b190bf96a3c60a9ea34b329d|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|0|0|0|2|3|0|0|0|1|2|1|2|3|0|0|0|0|2|6|1|1|2|1|0|0|0|0|0|0|0|1|0|0|0|0|1|4|1|0|0|0|0|0|2|1|2|2|0|2|3|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0|2|2|0|0|0|3|5|4|1|3|3|0|5|0
nop13562|5|3|6|80|3,4644904|5|5,054|2|20cc3dc66f660d9ab4de1b3fc9b998acdcc56f27cd80a60159cc6af31c0d47d1|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|1|1|0|0|2|0|2|0|1|4|1|0|2|1|0|1|1|1|0|3|1|2|3|0|2|0|0|2|0|0|0|1|0|0|0|2|3|0|0|2|1|0|0|2|0|3|1|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|0|3|1|0|1|0|5|3|4|3|2|5|0|0|0
nop13563|5|3|8|79|4,0899096|4|4,788|2|fbc2d6c08edebf2c4d6675e998eeefd91e13213c3e7355843bb6d4bd19d33821|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|2|2|4|0|1|2|0|2|1|1|2|0|2|2|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|2|1|0|1|1|2|6|0|1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|2|0|0|0|0|2|8|5|1|4|7|0|3|0
nop13565|5|3|9|81|8,4740152|10|10,108|4|0ec2deeb9bc29e3f1712e013edfee56db82ebedec8a207a4367bb6b8d46c12a6|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|3|5|2|1|1|2|0|1|0|1|2|3|1|6|3|0|1|1|0|1|0|0|1|1|0|0|0|0|3|0|0|1|1|0|0|0|0|2|1|0|3|0|0|0|2|1|2|2|0|2|0|0|2|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|0|0|0|3|4|2|2|0|6|0|2|0
nop13569|5|3|7|82|2,9914892|4|3,458|2|2fbe1b7575f71ba8b6de791f80ab0d48b9d2d24cd5906867bdea8a1af381dab5|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|3|2|1|0|2|0|1|1|3|3|1|1|4|4|0|0|1|0|0|1|0|3|0|0|0|0|0|3|0|0|0|1|0|1|0|1|1|1|0|3|1|0|0|1|0|2|0|1|3|1|0|1|0|0|0|0|0|0|0|0|0|0|1|2|1|0|0|0|0|0|0|3|6|4|1|2|5|0|3|0
nop13576|5|3|11|82|6,2635286|9|9,576|3|7800faeaea4a38e33259885fd7ef1a9868e9ec4b1e9528456387d5c53cfe05eb|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|2|0|0|2|0|0|1|0|1|2|2|0|3|3|0|2|0|3|2|1|0|1|1|0|0|0|1|2|1|1|0|2|0|1|0|0|5|0|0|2|2|0|0|3|1|4|2|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|2|0|0|0|3|3|3|3|2|4|0|2|0
nop13577|5|3|8|79|3,750999|4|4,788|3|b58be060a7f5b14488bdca0a30b1b39e99183e8683b6590d96f93dfd5b2b3959|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|4|0|1|3|1|0|1|0|0|0|0|1|1|2|0|0|1|3|1|1|0|0|0|0|1|0|1|2|0|0|0|0|0|0|0|1|2|1|0|2|3|0|0|2|1|4|2|1|4|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2|1|0|0|0|2|5|5|1|3|5|0|3|0
nop13578|5|3|7|79|4,7039972|6|7,182|2|7f38792d28440efe9a9df0a69afe3769d7c89ca7b2c9cce51884f5bdb08add91|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|0|0|1|2|0|0|2|1|0|0|2|1|4|1|0|1|0|0|0|0|1|1|1|0|1|1|0|1|0|0|2|1|0|3|2|0|0|1|1|2|2|1|3|2|0|0|0|0|0|0|0|0|0|0|0|0|2|1|1|0|0|1|0|1|0|3|7|4|2|4|6|0|3|0
nop13593|5|3|9|82|6,1650022|8|7,182|3|3fe7a3e4e224460a8edcba3eba20bc206b657c3d2b1d0a48e43818afc5addd70|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|1|0|0|2|1|0|0|0|1|5|2|2|3|2|0|1|1|1|2|1|0|2|2|0|1|0|0|0|0|1|2|0|0|0|0|3|5|0|1|0|2|0|1|1|3|2|1|0|2|2|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|1|5|5|0|4|4|0|3|0
